mVYZJ4	fruehkaiserzeitlich
YZjkVx	2ndHalfFirstCentury
MNa9D3	Usurpator
pyyLmA	Galba
BoNVQG	Otho
YLrz8w	Vespasian
joq9AM	Titus
qykozr	Domitian
neXGYJ	Nerva
maVekM	Trajan
pnldjQ	Vitellius
rBZwWy	DomitianConsulate2

-- allen relations

      	mVYZJ4	YZjkVx	MNa9D3	pyyLmA	BoNVQG	YLrz8w	joq9AM	qykozr	neXGYJ	maVekM	pnldjQ	rBZwWy	
mVYZJ4	=		di		null	null	null	di		di		di		di		di		null	di		
YZjkVx	d		=		null	null	null	di		di		di		di		o		null	di		
MNa9D3	null	null	=		=		=		null	null	null	null	null	=		null	
pyyLmA	null	null	=		=		=		null	null	null	null	null	=		null	
BoNVQG	null	null	=		=		=		null	null	null	null	null	=		null	
YLrz8w	d		d		null	null	null	=		m		<		<		<		null	<		
joq9AM	d		d		null	null	null	mi		=		m		<		<		null	m		
qykozr	d		d		null	null	null	>		mi		=		m		<		null	=		
neXGYJ	d		d		null	null	null	>		>		mi		=		m		null	mi		
maVekM	d		oi		null	null	null	>		>		>		mi		=		null	>		
pnldjQ	null	null	=		=		=		null	null	null	null	null	=		null	
rBZwWy	d		d		null	null	null	>		mi		=		m		<		null	=		

