name	x	y	z	von	bis	fixed
BAN	0.503031123643161	0.180194544060207	1.46970497688979	1900	2000	fix
BBL	1.09863052809187	-0.0995416354666071	0.0155379056554525	1000	1500	schwebend
BBS	-0.113287443893952	1.66386602966966	0.527518520515434	250	700	schwebend
BDG	-0.164504151730523	-0.794770313133903	0.00795406398493608	1100	1550	fix
BEK	-0.543501681154405	-0.357484544241696	-0.513509117014391	1200	1400	schwebend
BKE	-0.872824476684086	0.47073471801044	0.435562879946019	0	300	fix
BKN	-0.13931782046245	-0.361755503543522	-0.699117824947621	1700	1875	schwebend
BKW	-0.84404004751005	-0.363282784631969	0.177578793561368	1300	1800	schwebend
BLD	-0.108499163679086	-0.626965673338054	-0.704592760650486	1500	1950	schwebend
BLM	-0.213479696104867	-0.209455556393558	-0.341356828293922	1800	1950	schwebend
BOG	-0.241518626669746	0.843210084035962	0.0410957235370753	-200	500	schwebend
BOK	-0.937427974284325	0.153818031199443	0.193116668512121	250	500	fix
BON	-0.684854826632193	-0.0653144980851487	0.166903837681601	-250	-50	schwebend
BOS	-0.101194695585967	-0.630986279529959	-0.194195817078648	1350	1550	schwebend
BOT	-0.435186213910045	0.0435651103887971	-0.0313804177040679	1700	1920	fix
BSG	-0.265231654393428	-0.802614793951567	0.0285992241708659	1500	1700	schwebend
BTM	0.151523505407208	-0.00720742166931438	-0.221992551898144	-200	600	schwebend
DAM	1.275264555049	0.178680901568131	-0.321850724876818	1900	2000	schwebend
DON	0.837057159423489	0.639129927282782	0.424639084277822	1000	1500	schwebend
EBA	-0.680850720404967	0.923791691560575	1.22428787240853	1500	2000	fix
EPE	-0.928728961794457	0.760147873315928	1.030153780316	1900	2000	fix
IGD	-0.531418797674201	-0.240031710941438	-0.0619142242310146	-200	100	fix
IKK	-0.0483494232199478	-0.324403317528888	-0.665793414615648	1800	1900	schwebend
ILB	0.0798460640530069	0.322230237230929	-0.426342788794558	1900	2000	schwebend
IMB	-0.586706109732402	-0.551720539014844	0.0469305458191412	-400	-100	fix
ING	-0.758492426879382	0.0667577360289861	0.0581141241875946	-250	-50	schwebend
KON	1.28712899820813	-0.549598600547759	1.1055720574261	1350	1550	schwebend
KPT	0.797408925265011	0.846467525865203	-1.20369379952624	1900	2000	fix
LIK	-0.255976748328617	-0.231894777744693	-0.241916929380065	1800	1950	schwebend
LKG	0.169143237987474	-0.0310172830509628	-0.528788395165097	1800	1950	schwebend
LNG	-1.16497233917064	-0.537076556402546	0.137136832683136	250	700	fix
LOK	-0.740330614618588	-0.250362841059282	-0.15288004514483	-75	425	schwebend
LON	-0.86490302889471	-0.110900200503686	-0.365538717570984	1100	1300	schwebend
LSL	0.605508679155753	0.84372997561619	-1.07946237959156	1900	2000	schwebend
LUS	-0.920347903175639	-0.771944331783912	0.427003186021863	-110	125	schwebend
MAL	-0.479403502694556	-0.170718384581207	-0.115987710145954	1350	1500	schwebend
MAT	1.12611160478984	-0.0491075886054059	0.126437828530811	1200	1400	schwebend
MBA	0.0176858150161195	-0.600687859229347	0.139491158066373	1200	1400	schwebend
MBJ	1.40422281499343	-0.314765067940384	-0.386511688102931	1900	2000	schwebend
MBN	0.961111187584563	0.367969475738851	-0.00225173486819852	1900	2000	schwebend
MDB	1.27185424877995	-1.66984672907292	2.41197894871821	1300	1500	schwebend
MKA	-0.254876600308607	0.555535903686171	-0.319300192822018	1900	2000	fix
MKL	0.708858794044912	0.0830004904844459	-0.386299498676758	1300	1600	schwebend
MON	-0.132118761316035	0.0560163424630056	-0.18492040876412	-100	200	fix
MPO	0.0917257923980019	-0.37200631577751	-0.39305119032604	1800	1900	schwebend
MTB	0.928326146538524	0.539127447970273	-0.000333561852606969	1600	1900	schwebend
NGB	0.190736705416007	0.059267652796567	-0.122661748011586	-200	500	schwebend
NGO	-0.498573496161445	0.849811394142629	-0.233097903122524	1100	1300	schwebend
NKB	0.619475604613022	0.664428924788996	-0.700143402587871	1800	1900	schwebend
NKI	-0.0864566767701798	-0.361934727103008	0.147795973451536	1300	1600	schwebend
OUE	0.35408798302094	-0.419074607736604	-0.154201472158685	1000	1350	schwebend
PDM	1.10657208507445	-0.257324866098174	0.181715921741834	1600	1900	schwebend
PKM	-0.480789809513396	0.170148395533807	-0.126091497943749	-200	500	fix
WAF	-0.190397274171847	-1.04889727719337	-0.200421525670407	1300	1500	schwebend
WEM	-0.263243208158258	-0.408549689529167	-0.432968022536451	1275	1400	schwebend
YET	-0.39711560880854	0.0418060537865726	0.0974238239439267	100	300	schwebend
YOP	0.196618298429467	0.145234280814128	-0.336363234459973	1900	2000	schwebend
