name	x	y	z	von	bis	fixed
BDG	-0.365609306275974	1.1176243308769	-0.355451455347827	1100	1550	fixed
BEK	-0.128879350026503	0.46798147714762	1.21002077121417	1200	1400	schwebend
BKE	0.623674315198009	-0.292844273938125	0.796593506946479	0	300	fixed
BKN	-0.765433109879428	-0.262310381449001	0.0978734074557241	1700	1875	schwebend
BLD	-0.856181033693728	-0.0427591306559756	-0.00979185538737078	1500	1950	schwebend
BLM	-0.474341909921704	-0.369139456127463	-0.152107589351916	1800	1950	schwebend
BOK	0.447485581850965	0.111358573433324	0.590663222035186	250	500	fixed
BON	0.748075339036902	-0.246278507145851	-0.125857058769721	-250	-50	schwebend
BOS	-0.59392494759214	0.265874130553171	-0.364091915157251	1350	1550	schwebend
BOT	0.0444471610101606	-0.375759976145448	-0.192925140186491	1700	1920	fixed
BSG	-0.233047246664385	0.563808083019979	-0.301497137360917	1500	1700	schwebend
IGD	0.964335452854166	-0.245464665488798	-0.274927453168143	-200	100	fixed
IKK	-0.569579029981238	-0.235978917282994	-0.260652602922555	1800	1900	schwebend
ILB	-0.062317432240525	-1.17953804739844	-0.269742882385725	1900	2000	schwebend
IMB	0.621912187949054	0.0750721516986272	-0.243912253871127	-400	-100	fixed
ING	1.20930352447803	-0.590083898293061	-0.165899264877399	-250	-50	schwebend
LIK	-0.487580248478732	-0.18562053619501	-0.150474413079683	1800	1950	schwebend
LKG	-0.459727540164294	-0.30605768199321	-0.397123972367886	1800	1950	schwebend
LNG	0.963104318393638	1.0313274815386	0.0841989720494543	250	700	fixed
LOK	0.588604635939086	-0.238302019127914	-0.112316108123071	-75	425	schwebend
LON	-0.135080840437111	0.0809141481421632	1.80690466168055	1100	1300	schwebend
LUS	0.876880916013549	1.02126746015403	-0.552867380444648	-110	125	schwebend
MAL	-0.206654670150541	-0.0674539735034878	-0.272698471879827	1350	1500	schwebend
MBA	-0.592731474807433	0.685078549286783	-0.758289720950532	1200	1400	schwebend
MON	0.310038846975137	-0.317854643030708	-0.224578200743107	-100	200	fixed
MPO	-0.788191336070129	-0.547345893494772	0.0954142296815918	1800	1900	schwebend
NKI	-0.499265740437455	0.0391422790856185	-0.119793893844895	1300	1600	schwebend
WAF	-0.491411964923359	0.774579878717086	-0.205167243953977	1300	1500	schwebend
WEM	-0.65651932855591	0.0726865826160064	0.224208747456157	1275	1400	schwebend
YET	0.299606992711038	-0.282774046871713	-0.137032711116831	100	300	schwebend
YOP	-0.545439690225799	-1.01992881381645	-0.0934940355843325	1900	2000	schwebend
