"","BodenTyp.B1","BodenTyp.B10","BodenTyp.B11","BodenTyp.B2","BodenTyp.B4","Fabric.1","Fabric.4","Fabric.5","GefTyp.C1","GefTyp.E1","GefTyp.H2","GefTyp.B1","GefTyp.G1","GefTyp.I2","GefTyp.G3","VerzTech.01","VerzTech.02","VerzTech.04","VerzTech.04-1","VerzTech.05","VerzTech.08","VerzTech.09"
"BKE",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
"BKW",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
"BOK",1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
"BON",0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0
"BTM",0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"IGD",0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
"ILB",1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"IMB",0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1
"ING",0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
"LNG",0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
"LOK",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0
"LUS",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
"NGB",1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
"YET",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
"YNG",0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
