pYXjP7	AlbLimes
D9n46l	DonauLimes
M2abym	Elisabethenstrasse
kR9MbE	HadriansWall
N9VKX4	Neckarlimes
jZZkrP	NördlingerRies
gyJzy5	Odenwaldlimes
ZpMYEL	WestRätLimes
jk7dBz	Wetteraulimes

-- distances [0.0;0.0]

      	pYXjP7	D9n46l	M2abym	kR9MbE	N9VKX4	jZZkrP	gyJzy5	ZpMYEL	jk7dBz	
pYXjP7	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
D9n46l	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
M2abym	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
kR9MbE	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
N9VKX4	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
jZZkrP	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
gyJzy5	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
ZpMYEL	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
jk7dBz	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	

