name	x	y	z	von	bis	fixed
BBS	1.75946462362556	1.26736018546415	0.184670195086423	250	700	schwebend
BDG	-0.644798761616836	-0.120821221418735	1.08348267970022	1100	1550	fix
BEK	-0.180208771537156	0.0527137679986774	0.373240170239221	1200	1400	schwebend
BKE	0.930127737821452	-0.181231512565207	-0.0122740534038073	0	300	fix
BKN	-0.664496033369098	0.49151745736636	-0.0943872329376115	1700	1875	schwebend
BKW	-0.176853257468438	-0.603968158696607	0.678963024456205	1300	1800	schwebend
BLD	-0.87773189363833	0.447900861739366	0.183372022897218	1500	1950	schwebend
BLM	-0.430905413163328	0.0967486153657047	-0.383004587285256	1800	1950	schwebend
BOG	1.06289289640515	0.946799498319042	0.136984385290377	-200	500	schwebend
BOK	0.633845721419779	-0.237757820800603	0.333331044363811	250	500	fix
BON	0.440225124588029	-0.68267107279296	-0.18194993635673	-250	-50	schwebend
BOS	-0.646486863495196	0.191152304113719	0.364592806595174	1350	1550	schwebend
BOT	0.159555279029234	0.0632904982781831	0.151947960218247	1700	1920	fix
BSG	-0.481548917013422	-0.149960727275668	0.43309601908232	1500	1700	schwebend
BTM	-0.0818338893406212	-0.145096329211235	-1.08952041501343	-200	600	schwebend
IGD	0.488907365049838	-0.883029719559929	-0.171409380446848	-200	100	fix
IKK	-0.680699402976508	0.240639086054811	-0.298319100327762	1800	1900	schwebend
ILB	0.204037713195235	0.499056480766512	-0.808668064092431	1900	2000	schwebend
IMB	0.0811417660764978	-0.811719298921515	-0.267509702792367	-400	-100	fix
ING	0.887300420420502	-0.841301871637376	-0.194060114843943	-250	-50	schwebend
LIK	-0.421524105533437	0.183858336357817	-0.0955256308202983	1800	1950	schwebend
LKG	-0.437314500867301	0.178571317395505	-0.270137738814968	1800	1950	schwebend
LNG	0.160087725824972	-1.25921160158751	0.567970653023256	250	700	fix
LOK	0.330352815319011	-0.579292292540456	0.0506229401537355	-75	425	schwebend
LON	0.13702449877151	0.301662803210573	0.552294369205583	1100	1300	schwebend
LUS	0.00981862117515046	-1.23911202812033	0.527713323739167	-110	125	schwebend
MAL	-0.148755940878515	0.12669353377417	0.304735418379331	1350	1500	schwebend
MAT	-0.79671071100412	0.407724444538181	-1.98579068885345	1200	1400	schwebend
MBA	-0.722100584929624	0.189696885535583	1.19095078111421	1200	1400	schwebend
MKA	0.468876814289726	0.959733345984194	0.0704059924995884	1900	2000	fix
MON	0.134206746377873	-0.34219294700357	-0.157206344124863	-100	200	fix
MPO	-0.635342555736772	0.613848143457304	-0.226461369385155	1800	1900	schwebend
NGB	-0.136278888539713	-0.108203013392366	-0.882988469034131	-200	500	schwebend
NGO	0.33303328034643	0.606267107971627	0.441946034542465	1100	1300	schwebend
NKI	-0.4532268014628	0.297987154112976	0.332804287094523	1300	1600	schwebend
OUE	-0.812725767701959	0.100559747918995	-1.06487618168902	1000	1350	schwebend
PKM	0.304213354227634	0.203129399892472	0.0579381569950916	-200	500	fix
WAF	-0.825639884439413	-0.0765757629103221	0.620626297593332	1300	1500	schwebend
WEM	-0.515334497039302	0.335594295332705	0.113966406570533	1275	1400	schwebend
YET	0.160428013057115	-0.208216159745461	-0.171441193015558	100	300	schwebend
YNG	-0.00998463295733967	-0.7807837818443	-0.8682372061619	-400	100	schwebend
YOP	-0.235296524765685	0.626198538001402	-0.595014178558854	1900	2000	schwebend
